"table","seq","column","is_pk","is_fk","i1","i2",,,"type","size","description","id"
"permits",1,"id",1,,,,,,"INTEGER",,"Permit Approvals","t03f01"
"permits",2,"year",,,,,,,"INTEGER",4,,"c03f01002"
"permits",3,"approval_id",,,1,,,,"INTEGER",7,,"c03f01003"
"permits",4,"approval_type",,,,,,,"VARCHAR",30,,"c03f01004"
"permits",5,"approval_type_id",,,,1,,,"INTEGER",3,,"c03f01005"
"permits",6,"project_id",,,,,1,,"INTEGER",6,,"c03f01006"
"permits",7,"application_date",,,,,,,"DATETIME",,,"c03f01007"
"permits",8,"issue_date",,,,,,,"DATETIME",,,"c03f01008"
"permits",9,"complete_date",,,,,,1,"DATETIME",,,"c03f01009"
"permits",10,"state",,,,,,,"VARCHAR",9,,"c03f0100a"
"permits",11,"map_reference",,,,,,,"VARCHAR",7,,"c03f0100b"
"permits",12,"latitude",,,,,,,"REAL",,,"c03f0100c"
"permits",13,"longitude",,,,,,,"REAL",,,"c03f0100d"
,,,,,,,,,,,,
"applications",1,"id",1,,,,,,"INTEGER",,"Application approvals","t03f02"
"applications",2,"year",,,,,,,"INTEGER",4,,"c03f02002"
"applications",3,"approval_id",,,1,,,,"INTEGER",7,,"c03f02003"
"applications",4,"approval_type",,,,,,,"VARCHAR",30,,"c03f02004"
"applications",5,"approval_type_id",,,,1,,,"INTEGER",3,,"c03f02005"
"applications",6,"project_id",,,," ",1,,"INTEGER",6,,"c03f02006"
"applications",7,"application_date",,,,,,1,"DATETIME",,,"c03f02007"
"applications",8,"state",,,,,,,"VARCHAR",8,,"c03f02008"
"applications",9,"map_reference",,,,,,,"VARCHAR",7,,"c03f02009"
"applications",10,"latitude",,,,,,,"REAL",,,"c03f0200a"
"applications",11,"longitude",,,,,,,"REAL",,,"c03f0200b"
